ec50_am,ec50_lm,efficacy,sum_nll_al,sum_nll_am,sum_nll_lm,sum_nll
0.01,0.01,1.0,207.23265836946408,0,13.260944151007077,220.49360252047114
0.01,0.03,1.0,207.23265836946408,0,13.029396893370077,220.26205526283417
0.01,0.05,1.0,207.23265836946408,0,11.565804985874385,218.79846335533847
0.01,0.0699999999999999,1.0,207.23265836946408,0,11.916006426566033,219.14866479603012
0.01,0.09,1.0,207.23265836946408,0,10.576720324925896,217.80937869438998
0.01,0.11,1.0,207.23265836946408,0,11.565804985874385,218.79846335533847
0.01,0.13,1.0,207.23265836946408,0,11.482039612947993,218.71469798241208
0.01,0.15,1.0,207.23265836946408,0,10.441410406619562,217.67406877608363
0.01,0.17,1.0,207.23265836946408,0,9.819058718414354,217.05171708787844
0.01,0.19,1.0,207.23265836946408,0,9.324653590437276,216.55731195990134
0.01,0.21,0.9998,144.8855153349816,0,8.233588160653781,153.1191034956354
0.01,0.23,0.9999,151.6098601692867,0,7.643331168081065,159.25319133736775
0.01,0.25,1.0,207.23265836946408,0,7.7472226526106445,214.97988102207472
0.01,0.27,0.9999,151.6098601692867,0,6.465813919794266,158.07567408908096
0.01,0.29,1.0,207.23265836946408,0,5.956231934021601,213.18889030348566
0.01,0.31,1.0,207.23265836946408,0,5.424036099913376,212.65669446937744
0.01,0.33,1.0,207.23265836946408,0,5.263984449724628,212.4966428191887
0.01,0.35,1.0,207.23265836946408,0,4.696881338162453,211.92953970762653
0.01,0.37,1.0,207.23265836946408,0,4.274108552164812,211.5067669216289
0.01,0.39,1.0,207.23265836946408,0,3.820937302885749,211.05359567234981
0.01,0.41,0.9999,151.6098601692867,0,3.5240142915313464,155.13387446081805
0.01,0.43,1.0,207.23265836946408,0,3.3597461185118833,210.59240448797595
0.01,0.45,1.0,207.23265836946408,0,3.2821051222395514,210.51476349170363
0.01,0.47,0.9999,151.6098601692867,0,3.2384110049029022,154.8482711741896
0.01,0.49,1.0,207.23265836946408,0,3.3322687302246354,210.5649270996887
0.01,0.51,0.9999,151.6098601692867,0,3.4578853070057534,155.06774547629243
0.01,0.53,0.9999,151.6098601692867,0,3.5630884500976765,155.17294861938436
0.01,0.55,1.0,207.23265836946408,0,3.905083889018554,211.13774225848263
0.01,0.5700000000000001,0.9999,151.6098601692867,0,4.12903729128181,155.7388974605685
0.01,0.59,1.0,207.23265836946408,0,4.49214635595868,211.72480472542276
0.01,0.61,0.9998,144.8855153349816,0,5.115990140519096,150.0015054755007
0.01,0.63,0.9998,144.8855153349816,0,6.3387523822026495,151.22426771718423
0.01,0.65,0.9999,151.6098601692867,0,6.811328575004785,158.42118874429147
0.01,0.67,0.9996,136.30848045983072,0,8.022769091732203,144.33124955156293
0.01,0.6900000000000001,0.9999,151.6098601692867,0,8.753027153819207,160.3628873231059
0.01,0.7100000000000001,0.9996,136.30848045983072,0,9.910749226922151,146.21922968675287
0.01,0.73,0.9999,151.6098601692867,0,11.09993414659781,162.7097943158845
0.01,0.75,0.9999,151.6098601692867,0,12.500967794778603,164.1108279640653
0.01,0.77,0.9995,132.78825567971606,0,14.133178056096643,146.9214337358127
0.01,0.79,0.9998,144.8855153349816,0,15.65865685092346,160.54417218590504
0.01,0.81,0.9999,151.6098601692867,0,16.74517390873733,168.355034078024
0.01,0.8300000000000001,0.9992,123.88772141998024,0,19.179983720882156,143.0677051408624
0.01,0.85,0.9996,136.30848045983072,0,21.774335612110196,158.08281607194093
0.01,0.87,0.9997,140.10509177952875,0,23.746815908189298,163.85190768771804
0.01,0.89,0.9998,144.8855153349816,0,26.659107526879417,171.544622861861
0.01,0.91,0.9995,132.78825567971606,0,28.057413483798296,160.84566916351434
0.01,0.93,0.9997,140.10509177952875,0,30.859324305481433,170.96441608501019
0.01,0.95,0.9992,123.88772141998024,0,33.54483263962285,157.4325540596031
0.01,0.97,0.9997,140.10509177952875,0,36.2593848685859,176.36447664811465
0.01,0.99,0.9996,136.30848045983072,0,38.337315373504865,174.64579583333557
0.01,1.01,0.9996,136.30848045983072,0,41.93488228991016,178.24336274974087
0.01,1.03,0.9992,123.88772141998024,0,43.325788788173384,167.21351020815362
0.01,1.05,0.9995,132.78825567971606,0,45.13444734498626,177.92270302470232
0.01,1.07,0.9994,129.54357120556122,0,45.7215534368408,175.26512464240201
0.01,1.09,0.9988,114.55565902248857,0,45.99914867121541,160.554807693704
0.01,1.11,0.9992,123.88772141998024,0,46.04220644660353,169.92992786658377
