ec50_am,ec50_lm,efficacy
0.05,0.03,1.0
0.05,0.05,1.0
0.05,0.06999999999999999,0.9998
0.05,0.09,0.9999
0.05,0.11,1.0
0.05,0.13,0.9999
0.05,0.15000000000000002,0.9998
0.05,0.17,1.0
0.05,0.19,0.9999
0.05,0.21000000000000002,0.9999
0.05,0.23,0.9999
0.05,0.25,0.9998
0.05,0.27,0.9999
0.05,0.29000000000000004,0.9997
0.05,0.31,0.9996
0.05,0.33,1.0
0.05,0.35000000000000003,0.9999
0.05,0.37,0.9995
0.05,0.39,0.9999
0.05,0.41000000000000003,0.9996
0.05,0.43,0.9994
0.05,0.45,0.9998
0.05,0.47000000000000003,0.9996
0.05,0.49,0.9996
0.05,0.51,0.9997
0.05,0.53,0.9991
0.05,0.55,0.9994
0.05,0.5700000000000001,0.9997
0.05,0.59,0.9996
0.05,0.61,0.9992
0.05,0.63,0.9991
0.05,0.65,0.9988
0.05,0.67,0.9992
0.05,0.6900000000000001,0.9988
0.05,0.7100000000000001,0.9985
0.05,0.73,0.9995
0.05,0.75,0.9989
0.05,0.77,0.9979
0.05,0.79,0.9981
0.05,0.81,0.999
0.05,0.8300000000000001,0.9982
0.05,0.85,0.9985
0.05,0.87,0.9979
0.05,0.89,0.998
0.05,0.91,0.9975
0.05,0.93,0.9976
0.05,0.9500000000000001,0.9979
0.05,0.97,0.9971
0.05,0.99,0.9967
0.05,1.01,0.9979
0.05,1.03,0.9967
0.05,1.05,0.9972
0.05,1.07,0.9972
0.05,1.09,0.9965
0.05,1.11,0.9962
0.05,1.1300000000000001,0.9957
0.05,1.1500000000000001,0.9966
0.05,1.17,0.9976
0.05,1.19,0.9966
0.05,1.21,0.9957
0.05,1.23,0.9957
0.05,1.25,0.9963
0.05,1.27,0.9961
0.05,1.29,0.9965
0.05,1.31,0.9953
0.05,1.33,0.995
0.05,1.35,0.9949
0.05,1.37,0.9951
0.05,1.3900000000000001,0.9963
0.05,1.4100000000000001,0.9948
0.05,1.43,0.9961
0.05,1.45,0.9936
0.05,1.47,0.995
0.05,1.49,0.9955
0.05,1.51,0.9947
0.05,1.53,0.9943
0.05,1.55,0.9954
0.05,1.57,0.9942
0.05,1.59,0.9942
0.05,1.61,0.995
0.05,1.6300000000000001,0.9954
0.05,1.6500000000000001,0.9953
0.05,1.6700000000000002,0.9943
0.05,1.69,0.9948
0.05,1.71,0.9939
0.05,1.73,0.9946
0.05,1.75,0.9938
0.05,1.77,0.9942
0.05,1.79,0.9937
0.05,1.81,0.994
0.05,1.83,0.994
0.05,1.85,0.9939
0.05,1.87,0.9932
0.05,1.8900000000000001,0.9937
0.05,1.9100000000000001,0.993
0.05,1.93,0.9929
0.05,1.95,0.9946
0.05,1.97,0.9931
